Assembly	K|Best match locus	K|Match confidence	K|Coverage	K|Identity	OC|Best match locus	OC|Match confidence	OC|Coverage	OC|Identity
GCF_002277325.1	KL2	Very high	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_002277705.1	KL2	Good	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_002277605.1	KL2	Very high	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_000723065.1	KL2	Very high	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_001887305.1	KL2	Very high	100.00%	99.99%	OCL1	Very high	100.00%	98.12%
GCF_017098205.1	KL2	Very high	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_003352605.1	KL2	Good	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_001617915.1	KL7	Very high	100.00%	99.54%	OCL1	Very high	100.00%	98.12%
GCF_001617945.1	KL7	Very high	100.00%	99.54%	OCL1	Very high	100.00%	98.12%
GCF_001680195.1	KL7	Very high	100.00%	99.54%	OCL1	Very high	100.00%	98.12%
GCF_002277225.1	KL28	None	99.18%	95.17%	OCL1	Very high	100.00%	98.12%
GCF_002277215.1	KL7	Good	99.41%	99.53%	OCL1	Very high	100.00%	98.12%
GCF_004101745.1	KL9	Very high	100.00%	96.82%	OCL1	High	100.00%	98.12%
GCF_008244865.1	KL9	Very high	100.00%	96.82%	OCL1	High	100.00%	98.12%
GCF_008244905.1	KL9	Very high	100.00%	96.82%	OCL1	High	100.00%	98.12%
GCF_004101725.1	KL9	Very high	100.00%	96.82%	OCL1	High	100.00%	98.12%
GCF_004101705.1	KL9	Very high	100.00%	96.81%	OCL1	High	100.00%	98.12%
GCF_004101685.1	KL9	Very high	100.00%	96.82%	OCL1	High	100.00%	98.12%
GCF_008244885.1	KL9	Very high	100.00%	96.82%	OCL1	High	100.00%	98.12%
GCF_003352615.1	KL2	Very high	100.00%	99.99%	OCL1	Very high	100.00%	98.12%
GCF_012272715.1	KL22	None	79.82%	97.04%	OCL1	Very high	100.00%	98.11%
GCF_012272735.1	KL22	None	79.88%	97.04%	OCL1	Very high	100.00%	98.12%
GCF_012272755.1	KL22	None	79.97%	97.04%	OCL1	Very high	100.00%	98.12%
GCF_012272795.1	KL22	None	79.97%	97.04%	OCL1	Very high	100.00%	98.12%
GCF_003336035.1	KL3	Very high	100.00%	97.90%	OCL1	Very high	100.00%	98.01%
GCF_003522785.1	KL22	Very high	100.00%	99.66%	OCL1	Very high	100.00%	98.12%
GCF_900011305.1	KL58	Perfect	100.00%	100.00%	OCL1	Good	98.65%	98.08%
GCF_900010465.1	KL58	Perfect	100.00%	100.00%	OCL1	Good	98.65%	98.08%
GCF_900088705.1	KL58	Perfect	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_009753665.1	KL2	None	96.59%	98.55%	OCL1	Very high	100.00%	98.12%
GCF_900495505.1	KL47	Very high	100.00%	99.22%	OCL1	Very high	100.00%	98.12%
GCF_003931755.1	KL2	Very high	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_003931775.1	KL2	Very high	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_012935165.1	KL12	Very high	100.00%	99.92%	OCL1	Very high	100.00%	98.12%
GCF_012935025.1	KL12	Very high	100.00%	99.92%	OCL1	Very high	100.00%	98.12%
GCF_012935045.1	KL120	Very high	100.00%	98.84%	OCL1	High	100.00%	98.12%
GCF_005785995.1	KL77	Perfect	100.00%	100.00%	OCL1	Good	100.00%	98.12%
GCF_008629945.1	KL77	Perfect	100.00%	100.00%	OCL1	Good	100.00%	98.12%
GCF_000805545.1	KL2	Very high	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_900496795.1	KL2	Very high	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_003941815.1	KL2	Very high	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_012934945.1	KL2	Very high	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_017096365.1	KL2	Very high	100.00%	99.76%	OCL1	Very high	100.00%	98.12%
GCF_002212445.1	KL3	Very high	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_002241105.1	KL3	Good	98.10%	98.84%	OCL1	Very high	100.00%	98.12%
GCF_002212365.1	KL3	Good	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_017096345.1	KL3	Very high	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_003355795.1	KL3	Very high	99.99%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_017096405.1	KL3	High	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_002992665.1	KL3	Very high	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_014561145.1	KL3	Very high	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_002992425.1	KL3	High	100.00%	98.82%	OCL1	Very high	100.00%	98.12%
GCF_017169455.1	KL3	Good	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_003288775.1	KL3	High	100.00%	98.82%	OCL1	High	100.00%	98.12%
GCF_012934985.1	KL3	Very high	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_012935185.1	KL3	High	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_017096325.1	KL3	High	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
Aci06	KL3	Very high	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_013618675.1	KL3	Very high	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_003007615.1	KL3	Very high	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_003264295.1	KL3	Very high	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_003264255.1	KL3	Very high	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_006365835.1	KL3	Very high	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_014560535.1	KL3	Very high	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_001861465.1	KL3	Very high	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_006365805.1	KL3	Very high	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_001861905.1	KL3	Very high	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_005785725.1	KL3	Good	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_005785815.1	KL3	Very high	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_002863545.1	KL3	Very high	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_012935065.1	KL3	Very high	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_013778405.1	KL3	High	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_900496855.1	KL3	High	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_003332235.1	KL3	Very high	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_001862055.1	KL3	High	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_017169085.1	KL3	Very high	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_900495395.1	KL10	Very high	100.00%	95.77%	OCL1	Very high	100.00%	98.12%
GCF_900495455.1	KL10	Very high	100.00%	95.77%	OCL1	Very high	100.00%	98.12%
GCF_900493565.1	KL10	Very high	100.00%	95.77%	OCL1	Very high	100.00%	98.12%
GCF_900496285.1	KL10	Very high	100.00%	95.77%	OCL1	Very high	100.00%	98.12%
GCF_900494555.1	KL10	Very high	100.00%	95.77%	OCL1	Very high	100.00%	98.12%
GCF_017169415.1	KL3	High	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_002212525.1	KL3	Very high	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_009498335.1	KL3	Very high	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_003007375.1	KL3	Very high	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_016901075.1	KL3	Very high	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_014560315.1	KL3	High	100.00%	98.81%	OCL1	Very high	100.00%	98.12%
GCF_005786405.1	KL3	Very high	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_005786455.1	KL3	Good	100.00%	98.82%	OCL1	Very high	100.00%	98.12%
GCF_001862485.1	KL3	Very high	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_001863535.1	KL3	High	100.00%	98.82%	OCL1	Very high	100.00%	98.12%
GCF_001864035.1	KL3	Very high	100.00%	98.82%	OCL1	Very high	100.00%	98.12%
GCF_009758395.1	KL3	High	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_000802885.1	KL3	Good	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_003356965.1	KL3	Very high	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_010500475.1	KL3	Very high	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_003984795.1	KL3	Good	98.42%	98.82%	OCL1	Good	100.00%	98.11%
GCF_900496085.1	KL10	Very high	100.00%	95.77%	OCL1	Very high	100.00%	98.12%
GCF_005786425.1	KL7	Very high	100.00%	99.54%	OCL1	Very high	100.00%	98.12%
GCF_900476545.2	KL2	Very high	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_900476555.2	KL2	Very high	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_900476725.2	KL2	Very high	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_900476765.2	KL2	Very high	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_900476645.2	KL2	Very high	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_900490075.2	KL2	Very high	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_900476635.2	KL2	Very high	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_001541425.1	KL2	Very high	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_004296275.1	KL2	Low	94.02%	99.96%	OCL1	Very high	100.00%	98.12%
GCF_003948895.1	KL2	Very high	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_000811305.3	KL2	Very high	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_001861545.1	KL2	Very high	100.00%	99.99%	OCL1	Very high	100.00%	98.12%
GCF_000515955.1	KL2	Very high	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_000810835.3	KL2	Very high	100.00%	99.99%	OCL1	Good	100.00%	98.12%
GCF_003949175.1	KL2	Very high	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_000811225.3	KL2	Very high	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_003949765.1	KL2	Very high	100.00%	99.99%	OCL1	Very high	100.00%	98.12%
GCF_000939495.2	KL2	Very high	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_000516215.2	KL2	Very high	100.00%	99.99%	OCL1	Very high	100.00%	98.12%
GCF_011683565.1	KL7	Very high	100.00%	99.54%	OCL1	Very high	100.00%	98.12%
GCF_011683625.1	KL7	Very high	100.00%	99.54%	OCL1	Very high	100.00%	98.12%
GCF_011683665.1	KL7	Very high	100.00%	99.54%	OCL1	Very high	100.00%	98.12%
GCF_011683655.1	KL7	Very high	100.00%	99.54%	OCL1	Very high	100.00%	98.12%
GCF_011683555.1	KL7	Very high	100.00%	99.54%	OCL1	Very high	100.00%	98.12%
GCF_002277405.1	KL28	None	99.43%	95.18%	OCL1	Very high	100.00%	98.12%
GCF_002277635.1	KL28	Low	99.65%	95.18%	OCL1	Very high	100.00%	98.12%
GCF_001863615.1	KL7	Very high	100.00%	99.54%	OCL1	Very high	100.00%	98.12%
GCF_017096385.1	KL2	Very high	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_017096425.1	KL2	High	100.00%	99.98%	OCL1	High	100.00%	98.09%
GCF_001292715.1	KL2	Very high	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_002277485.1	KL2	Very high	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_002277145.1	KL2	Very high	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_017349095.1	KL2	Very high	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_017349175.1	KL2	Very high	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_017349255.1	KL2	Very high	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_900496915.1	KL2	Very high	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_904884655.1	KL2	Very high	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_900494495.1	KL2	Very high	100.00%	99.76%	OCL1	Good	100.00%	98.12%
GCF_000809485.3	KL2	Very high	100.00%	99.99%	OCL1	Very high	100.00%	98.12%
GCF_000810665.3	KL2	Good	99.41%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_000808765.2	KL2	Good	100.00%	100.00%	OCL1	Good	98.65%	98.13%
GCF_002950545.1	KL2	Good	99.75%	99.99%	OCL1	Very high	100.00%	98.12%
GCF_002950625.1	KL2	Very high	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_002950595.1	KL2	Good	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_002950615.1	KL2	Good	97.17%	99.96%	OCL1	Very high	100.00%	98.12%
GCF_002950915.1	KL2	Low	93.80%	99.96%	OCL1	Very high	100.00%	98.12%
GCF_000515775.1	KL2	Very high	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_000811285.3	KL2	Good	99.97%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_000810485.3	KL2	Good	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_000808785.3	KL2	Very high	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_001669185.1	KL124	None	75.42%	88.60%	OCL1	Very high	100.00%	98.12%
GCF_000810465.3	KL2	Very high	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_002950855.1	KL2	None	85.79%	99.99%	OCL1	Good	95.18%	98.02%
GCF_000810825.3	KL2	Very high	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_002951435.1	KL2	Very high	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_000809825.3	KL2	Good	100.00%	99.99%	OCL1	Very high	100.00%	98.12%
GCF_000516235.1	KL2	Very high	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_000809285.3	KL2	Very high	100.00%	99.99%	OCL1	Very high	100.00%	98.12%
GCF_000810125.3	KL2	Good	100.00%	99.99%	OCL1	Very high	100.00%	98.12%
GCF_002212645.1	KL3	Very high	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_003711895.1	KL3	Good	98.68%	98.73%	OCL1	Very high	100.00%	98.12%
GCF_008807055.1	KL3	Very high	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_014560525.1	KL3	Very high	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_001862505.1	KL3	Very high	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_009753845.1	KL3	Very high	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_001863555.1	KL3	High	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_006366125.1	KL3	Very high	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_001862035.1	KL3	Very high	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_006366085.1	KL3	Very high	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_001862455.1	KL3	Very high	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_001862955.1	KL3	High	100.00%	98.82%	OCL1	Very high	100.00%	98.12%
GCF_009753965.1	KL3	High	99.82%	98.80%	OCL1	Very high	100.00%	98.12%
GCF_009754005.1	KL3	Very high	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_006376725.1	KL3	Very high	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_001861775.1	KL3	Very high	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_001864505.1	KL3	Very high	100.00%	98.82%	OCL1	Very high	100.00%	98.12%
GCF_002992825.1	KL3	Very high	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_000969285.1	KL3	Good	99.89%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_010500535.1	KL3	Very high	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_017168795.1	KL3	Very high	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_005784645.1	KL3	Very high	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_013618745.1	KL3	Very high	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_003007585.1	KL3	Very high	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_005784745.1	KL3	Very high	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_904887555.1	KL3	Very high	100.00%	98.83%	OCL1	Very high	100.00%	98.11%
GCF_904887645.1	KL3	High	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_900494695.1	KL3	High	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_900496655.1	KL3	High	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_904884595.1	KL3	Very high	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_904884645.1	KL3	Very high	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_904884585.1	KL3	Very high	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_904885715.1	KL3	Very high	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_904886935.1	KL3	Very high	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
Aci01	KL7	Very high	100.00%	99.43%	OCL1	Very high	100.00%	98.12%
GCF_005785695.1	KL3	High	100.00%	98.83%	OCL1	Very high	100.00%	98.12%
GCF_005785445.1	KL77	Perfect	100.00%	100.00%	OCL1	Good	100.00%	98.12%
GCF_008629755.1	KL77	Perfect	100.00%	100.00%	OCL1	Good	100.00%	98.12%
GCF_007999745.1	KL77	Perfect	100.00%	100.00%	OCL1	Good	100.00%	98.12%
GCF_005784835.1	KL77	Perfect	100.00%	100.00%	OCL1	Good	100.00%	98.12%
GCF_005786015.1	KL77	Perfect	100.00%	100.00%	OCL1	Good	100.00%	98.12%
GCF_005786205.1	KL32	Low	99.97%	99.08%	OCL1	Good	100.00%	98.11%
GCF_005786545.1	KL32	Low	99.97%	99.09%	OCL1	Good	100.00%	98.12%
GCF_900495275.1	KL6	Very high	100.00%	99.99%	OCL1	Very high	100.00%	98.12%
GCF_900495145.1	KL47	Very high	100.00%	99.22%	OCL1	Very high	100.00%	98.12%
GCF_900495585.1	KL47	Very high	100.00%	99.22%	OCL1	Very high	100.00%	98.12%
GCF_009760575.1	KL47	Very high	100.00%	99.22%	OCL1	Very high	100.00%	98.12%
GCF_001864305.1	KL14	Very high	100.00%	99.16%	OCL1	Very high	100.00%	98.12%
GCF_014531315.1	KL27	Low	91.34%	98.76%	OCL1	Good	100.00%	98.12%
GCF_005784435.1	KL2	Very high	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_005785385.1	KL2	Very high	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_900496375.1	KL2	Very high	100.00%	99.99%	OCL1	Very high	100.00%	98.11%
GCF_002951315.1	KL2	Good	98.09%	99.96%	OCL1	Very high	100.00%	98.12%
GCF_002951335.1	KL2	Good	100.00%	99.99%	OCL1	Good	100.00%	98.12%
GCF_001416275.1	KL2	None	97.55%	100.00%	OCL8	None	65.41%	90.63%
GCF_002951055.1	KL2	Very high	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_000809465.3	KL2	Very high	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_000811485.3	KL2	None	88.13%	100.00%	OCL11	Good	82.85%	97.52%
GCF_000810745.3	KL2	Very high	100.00%	99.99%	OCL1	Good	100.00%	98.12%
GCF_000453365.1	KL2	Very high	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_002950995.1	KL2	Very high	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_001541025.2	KL2	Very high	100.00%	100.00%	OCL1	Good	100.00%	98.12%
GCF_003948185.1	KL2	Very high	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_000301615.1	KL2	Very high	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_002950755.1	KL2	Very high	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_002950795.1	KL2	Good	99.98%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_002184105.1	KL2	Good	100.00%	99.99%	OCL1	Very high	100.00%	98.12%
GCF_016506795.1	KL2	Very high	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_003949325.1	KL2	Good	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_003949555.1	KL2	Very high	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_000453425.1	KL2	Very high	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_003948975.1	KL2	Very high	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_003949225.1	KL2	Very high	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_000589675.1	KL2	Good	100.00%	99.98%	OCL1	Very high	100.00%	98.12%
GCF_000589795.1	KL2	Good	100.00%	99.99%	OCL1	Very high	100.00%	98.12%
GCF_000582215.1	KL2	Good	100.00%	99.98%	OCL1	Very high	100.00%	98.12%
GCF_000682495.1	KL2	Good	100.00%	99.98%	OCL1	Very high	100.00%	98.12%
GCF_000588655.1	KL2	Good	100.00%	99.98%	OCL1	Very high	100.00%	98.12%
GCF_000584175.1	KL2	Very high	100.00%	99.99%	OCL1	Very high	100.00%	98.12%
GCF_015627315.1	KL2	Very high	100.00%	99.99%	OCL1	Very high	100.00%	98.12%
GCF_002119295.1	KL2	Very high	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_000811205.3	KL2	Very high	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_006492385.1	KL2	Very high	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_002277285.1	KL7	Very high	100.00%	99.54%	OCL1	Very high	100.00%	98.12%
GCF_002277505.1	KL7	Good	100.00%	99.54%	OCL1	Very high	100.00%	98.12%
GCF_002277175.1	KL28	Low	99.82%	95.16%	OCL1	Very high	100.00%	98.12%
GCF_001861785.1	KL2	Very high	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_009737595.1	KL2	Very high	100.00%	100.00%	OCL1	Very high	100.00%	98.12%
GCF_017582285.1	KL50	None	90.95%	87.94%	OCL1	Good	100.00%	98.12%
GCF_003345955.1	KL28	None	84.94%	92.85%	OCL1	Very high	100.00%	98.12%
GCF_004357175.1	KL28	None	85.08%	92.85%	OCL1	Good	100.00%	97.99%
GCF_004357275.1	KL28	None	85.00%	92.85%	OCL1	Very high	100.00%	98.12%
