assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	strain	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material	asm_not_live_date
GCF_000804635.1	PRJNA224116	SAMN03068186	JSCG00000000.1	na	470	470	Acinetobacter baumannii	2011BJAB3		latest	Scaffold	Major	Full	2014/12/19	ASM80463v1	Peking University People's Hospital	GCA_000804635.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/804/635/GCF_000804635.1_ASM80463v1			na
GCF_000804645.1	PRJNA224116	SAMN03068191	JSCI00000000.1	na	470	470	Acinetobacter baumannii	2011BJAB7		latest	Scaffold	Major	Full	2014/12/19	ASM80464v1	Peking University People's Hospital	GCA_000804645.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/804/645/GCF_000804645.1_ASM80464v1			na
GCF_000804655.1	PRJNA224116	SAMN03068194	JSCJ00000000.1	na	470	470	Acinetobacter baumannii	2004BJAB10		latest	Scaffold	Major	Full	2014/12/19	ASM80465v1	Peking University People's Hospital	GCA_000804655.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/804/655/GCF_000804655.1_ASM80465v1			na
GCF_000804665.1	PRJNA224116	SAMN03068188	JSCH00000000.1	na	470	470	Acinetobacter baumannii	2011BJAB4		latest	Scaffold	Major	Full	2014/12/19	ASM80466v1	Peking University People's Hospital	GCA_000804665.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/804/665/GCF_000804665.1_ASM80466v1			na
GCF_000804715.1	PRJNA224116	SAMN03068198	JSCM00000000.1	na	470	470	Acinetobacter baumannii	2004BJAB14		latest	Scaffold	Major	Full	2014/12/19	ASM80471v1	Peking University People's Hospital	GCA_000804715.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/804/715/GCF_000804715.1_ASM80471v1			na
GCF_000804725.1	PRJNA224116	SAMN03068243	JSCN00000000.1	na	470	470	Acinetobacter baumannii	2011GDAB3		latest	Scaffold	Major	Full	2014/12/19	ASM80472v1	Peking University People's Hospital	GCA_000804725.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/804/725/GCF_000804725.1_ASM80472v1			na
GCF_000804735.1	PRJNA224116	SAMN03068196	JSCK00000000.1	na	470	470	Acinetobacter baumannii	2003BJAB12		latest	Scaffold	Major	Full	2014/12/19	ASM80473v1	Peking University People's Hospital	GCA_000804735.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/804/735/GCF_000804735.1_ASM80473v1			na
GCF_000804745.1	PRJNA224116	SAMN03068197	JSCL00000000.1	na	470	470	Acinetobacter baumannii	2004BJAB13		latest	Scaffold	Major	Full	2014/12/19	ASM80474v1	Peking University People's Hospital	GCA_000804745.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/804/745/GCF_000804745.1_ASM80474v1			na
GCF_000804795.1	PRJNA224116	SAMN03068249	JSCO00000000.1	na	470	470	Acinetobacter baumannii	2005JSAB1		latest	Scaffold	Major	Full	2014/12/19	ASM80479v1	Peking University People's Hospital	GCA_000804795.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/804/795/GCF_000804795.1_ASM80479v1			na
GCF_000804805.1	PRJNA224116	SAMN03068256	JSCQ00000000.1	na	470	470	Acinetobacter baumannii	2011SDAB1		latest	Scaffold	Major	Full	2014/12/19	ASM80480v1	Peking University People's Hospital	GCA_000804805.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/804/805/GCF_000804805.1_ASM80480v1			na
GCF_000804815.1	PRJNA224116	SAMN03068253	JSCP00000000.1	na	470	470	Acinetobacter baumannii	2011SHAB1		latest	Scaffold	Major	Full	2014/12/19	ASM80481v1	Peking University People's Hospital	GCA_000804815.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/804/815/GCF_000804815.1_ASM80481v1			na
GCF_000804825.1	PRJNA224116	SAMN03068257	JSCR00000000.1	na	470	470	Acinetobacter baumannii	2011SDAB2		latest	Scaffold	Major	Full	2014/12/19	ASM80482v1	Peking University People's Hospital	GCA_000804825.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/804/825/GCF_000804825.1_ASM80482v1			na
GCF_000804875.1	PRJNA224116	SAMN03068258	JSCS00000000.1	na	470	470	Acinetobacter baumannii	2011SDAB3		latest	Scaffold	Major	Full	2014/12/19	ASM80487v1	Peking University People's Hospital	GCA_000804875.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/804/875/GCF_000804875.1_ASM80487v1			na
GCF_000804885.1	PRJNA224116	SAMN03068260	JSCT00000000.1	na	470	470	Acinetobacter baumannii	2011LNAB1		latest	Scaffold	Major	Full	2014/12/19	ASM80488v1	Peking University People's Hospital	GCA_000804885.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/804/885/GCF_000804885.1_ASM80488v1			na
GCF_000804895.1	PRJNA224116	SAMN03068266	JSCV00000000.1	na	470	470	Acinetobacter baumannii	2011ZJAB1		latest	Scaffold	Major	Full	2014/12/19	ASM80489v1	Peking University People's Hospital	GCA_000804895.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/804/895/GCF_000804895.1_ASM80489v1			na
GCF_000804905.1	PRJNA224116	SAMN03068264	JSCU00000000.1	na	470	470	Acinetobacter baumannii	2005LNAB4		latest	Scaffold	Major	Full	2014/12/19	ASM80490v1	Peking University People's Hospital	GCA_000804905.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/804/905/GCF_000804905.1_ASM80490v1			na
GCF_000804955.1	PRJNA224116	SAMN03068270	JSCW00000000.1	na	470	470	Acinetobacter baumannii	2004ZJAB5		latest	Scaffold	Major	Full	2014/12/19	ASM80495v1	Peking University People's Hospital	GCA_000804955.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/804/955/GCF_000804955.1_ASM80495v1			na
GCF_000804965.1	PRJNA224116	SAMN03068271	JSCX00000000.1	na	470	470	Acinetobacter baumannii	2004ZJAB6		latest	Scaffold	Major	Full	2014/12/19	ASM80496v1	Peking University People's Hospital	GCA_000804965.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/804/965/GCF_000804965.1_ASM80496v1			na
GCF_000804975.1	PRJNA224116	SAMN03068189	JSCY00000000.1	na	470	470	Acinetobacter baumannii	2011BJAB5		latest	Scaffold	Major	Full	2014/12/19	ASM80497v1	Peking University People's Hospital	GCA_000804975.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/804/975/GCF_000804975.1_ASM80497v1			na
GCF_000804985.1	PRJNA224116	SAMN03068192	JSCZ00000000.1	na	470	470	Acinetobacter baumannii	2011BJAB8		latest	Scaffold	Major	Full	2014/12/19	ASM80498v1	Peking University People's Hospital	GCA_000804985.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/804/985/GCF_000804985.1_ASM80498v1			na
GCF_000805035.1	PRJNA224116	SAMN03068195	JSDB00000000.1	na	470	470	Acinetobacter baumannii	1999BJAB11		latest	Scaffold	Major	Full	2014/12/19	ASM80503v1	Peking University People's Hospital	GCA_000805035.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/805/035/GCF_000805035.1_ASM80503v1			na
GCF_000805045.1	PRJNA224116	SAMN03068193	JSDA00000000.1	na	470	470	Acinetobacter baumannii	2011BJAB9		latest	Scaffold	Major	Full	2014/12/19	ASM80504v1	Peking University People's Hospital	GCA_000805045.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/805/045/GCF_000805045.1_ASM80504v1			na
GCF_000805055.1	PRJNA224116	SAMN03068199	JSDC00000000.1	na	470	470	Acinetobacter baumannii	2011GDAB1		latest	Scaffold	Major	Full	2014/12/19	ASM80505v1	Peking University People's Hospital	GCA_000805055.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/805/055/GCF_000805055.1_ASM80505v1			na
GCF_000805065.1	PRJNA224116	SAMN03068241	JSDD00000000.1	na	470	470	Acinetobacter baumannii	2011GDAB2		latest	Scaffold	Major	Full	2014/12/19	ASM80506v1	Peking University People's Hospital	GCA_000805065.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/805/065/GCF_000805065.1_ASM80506v1			na
GCF_000805115.1	PRJNA224116	SAMN03068244	JSDE00000000.1	na	470	470	Acinetobacter baumannii	2011GDAB4		latest	Scaffold	Major	Full	2014/12/19	ASM80511v1	Peking University People's Hospital	GCA_000805115.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/805/115/GCF_000805115.1_ASM80511v1			na
GCF_000805125.1	PRJNA224116	SAMN03068246	JSDF00000000.1	na	470	470	Acinetobacter baumannii	2011HNAB1		latest	Scaffold	Major	Full	2014/12/19	ASM80512v1	Peking University People's Hospital	GCA_000805125.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/805/125/GCF_000805125.1_ASM80512v1			na
GCF_000805135.1	PRJNA224116	SAMN03068251	JSDG00000000.1	na	470	470	Acinetobacter baumannii	2011TJAB1		latest	Scaffold	Major	Full	2014/12/19	ASM80513v1	Peking University People's Hospital	GCA_000805135.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/805/135/GCF_000805135.1_ASM80513v1			na
GCF_000805145.1	PRJNA224116	SAMN03068261	JSDH00000000.1	na	470	470	Acinetobacter baumannii	2011LNAB2		latest	Scaffold	Major	Full	2014/12/19	ASM80514v1	Peking University People's Hospital	GCA_000805145.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/805/145/GCF_000805145.1_ASM80514v1			na
GCF_000805195.1	PRJNA224116	SAMN03068263	JSDI00000000.1	na	470	470	Acinetobacter baumannii	2011LNAB3		latest	Scaffold	Major	Full	2014/12/19	ASM80519v1	Peking University People's Hospital	GCA_000805195.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/805/195/GCF_000805195.1_ASM80519v1			na
GCF_000805205.1	PRJNA224116	SAMN03068267	JSDJ00000000.1	na	470	470	Acinetobacter baumannii	2011ZJAB2		latest	Scaffold	Major	Full	2014/12/19	ASM80520v1	Peking University People's Hospital	GCA_000805205.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/805/205/GCF_000805205.1_ASM80520v1			na
GCF_000805215.1	PRJNA224116	SAMN03068269	JSDL00000000.1	na	470	470	Acinetobacter baumannii	2011ZJAB4		latest	Scaffold	Major	Full	2014/12/19	ASM80521v1	Peking University People's Hospital	GCA_000805215.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/805/215/GCF_000805215.1_ASM80521v1			na
GCF_000805225.1	PRJNA224116	SAMN03068268	JSDK00000000.1	na	470	470	Acinetobacter baumannii	2011ZJAB3		latest	Scaffold	Major	Full	2014/12/19	ASM80522v1	Peking University People's Hospital	GCA_000805225.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/805/225/GCF_000805225.1_ASM80522v1			na
GCF_000805275.1	PRJNA224116	SAMN03068190	JSDM00000000.1	na	470	470	Acinetobacter baumannii	2011BJAB6		latest	Scaffold	Major	Full	2014/12/19	ASM80527v1	Peking University People's Hospital	GCA_000805275.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/805/275/GCF_000805275.1_ASM80527v1			na
GCF_000805295.1	PRJNA224116	SAMN03068183	JRHV00000000.1	na	470	470	Acinetobacter baumannii	2011BJAB1		latest	Scaffold	Major	Full	2014/12/19	ASM80529v1	Peking University People's Hospital	GCA_000805295.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/805/295/GCF_000805295.1_ASM80529v1			na
GCF_000805305.1	PRJNA224116	SAMN03068184	JRHW00000000.1	na	470	470	Acinetobacter baumannii	2011BJAB2		latest	Scaffold	Major	Full	2014/12/19	ASM80530v1	Peking University People's Hospital	GCA_000805305.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/805/305/GCF_000805305.1_ASM80530v1			na
GCF_000805515.1	PRJNA224116	SAMN03080637	JRQY00000000.1	na	470	470	Acinetobacter baumannii	T271		latest	Contig	Major	Full	2014/12/19	ASM80551v1	The University of Queensland	GCA_000805515.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/805/515/GCF_000805515.1_ASM80551v1			na
GCF_000805525.1	PRJNA224116	SAMN03080636	JRQX00000000.1	na	470	470	Acinetobacter baumannii	T258		latest	Contig	Major	Full	2014/12/19	ASM80552v1	The University of Queensland	GCA_000805525.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/805/525/GCF_000805525.1_ASM80552v1			na
GCF_000805535.1	PRJNA224116	SAMN03080635	JRQW00000000.1	na	470	470	Acinetobacter baumannii	T229		latest	Contig	Major	Full	2014/12/19	ASM80553v1	The University of Queensland	GCA_000805535.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/805/535/GCF_000805535.1_ASM80553v1			na
GCF_000805545.1	PRJNA224116	SAMN03080627	JRQT00000000.1	na	470	470	Acinetobacter baumannii	T7		latest	Contig	Major	Full	2014/12/19	ASM80554v1	The University of Queensland	GCA_000805545.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/805/545/GCF_000805545.1_ASM80554v1			na
GCF_000805595.1	PRJNA224116	SAMN02912205	JRQS00000000.1	na	470	470	Acinetobacter baumannii	T87		latest	Contig	Major	Full	2014/12/19	ASM80559v1	The University of Queensland	GCA_000805595.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/805/595/GCF_000805595.1_ASM80559v1			na
GCF_000805615.1	PRJNA224116	SAMN03080631	JRQU00000000.1	na	470	470	Acinetobacter baumannii	T185		latest	Contig	Major	Full	2014/12/19	ASM80561v1	The University of Queensland	GCA_000805615.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/805/615/GCF_000805615.1_ASM80561v1			na
GCF_000805635.1	PRJNA224116	SAMN03080632	JRQV00000000.1	na	470	470	Acinetobacter baumannii	T188		latest	Contig	Major	Full	2014/12/19	ASM80563v1	The University of Queensland	GCA_000805635.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/805/635/GCF_000805635.1_ASM80563v1			na
GCF_000808765.2	PRJNA224116	SAMN03268799	JWRU00000000.3	na	470	470	Acinetobacter baumannii	ABUH42783		latest	Contig	Major	Full	2015/08/31	Velvet assembly of Acinetobacter baumannii ABUH42783	JCVI	GCA_000808765.3	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/808/765/GCF_000808765.2_Velvet_assembly_of_Acinetobacter_baumannii_ABUH42783			na
GCF_000808775.3	PRJNA224116	SAMN03268801	JWRZ00000000.3	na	470	470	Acinetobacter baumannii	ABUH504227		latest	Contig	Major	Full	2015/08/31	Velvet assembly of Acinetobacter baumannii ABUH504227	JCVI	GCA_000808775.3	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/808/775/GCF_000808775.3_Velvet_assembly_of_Acinetobacter_baumannii_ABUH504227			na
